anio,mes,partido,municipio_id,defunciones_femeninas,defunciones_masculinas,total
2020,9,General Belgrano,6301,5,8,13
2020,10,General Belgrano,6301,1,4,5
2020,11,General Belgrano,6301,4,5,9
2020,12,General Belgrano,6301,6,4,10
2020,1,General Guido,6308,1,0,1
2020,2,General Guido,6308,0,1,1
2020,3,General Guido,6308,0,1,1
2020,4,General Guido,6308,0,1,1
2020,5,General Guido,6308,0,0,0
2020,6,General Guido,6308,0,1,1
2020,7,General Guido,6308,0,1,1
2020,8,General Guido,6308,0,1,1
2020,9,General Guido,6308,1,0,1
2020,10,General Guido,6308,1,1,2
2020,11,General Guido,6308,0,0,0
2020,12,General Guido,6308,2,0,2
2020,1,General Juan Madariaga,6315,11,9,20
2020,2,General Juan Madariaga,6315,5,7,12
2020,3,General Juan Madariaga,6315,4,10,14
2020,4,General Juan Madariaga,6315,3,2,5
2020,5,General Juan Madariaga,6315,4,4,8
2020,6,General Juan Madariaga,6315,13,10,23
2020,7,General Juan Madariaga,6315,7,8,15
2020,8,General Juan Madariaga,6315,7,8,15
2020,9,General Juan Madariaga,6315,3,12,15
2020,10,General Juan Madariaga,6315,10,14,24
2020,11,General Juan Madariaga,6315,7,6,13
2020,12,General Juan Madariaga,6315,8,6,14
2020,1,General La Madrid,6322,3,2,5
2020,2,General La Madrid,6322,1,5,6
2020,3,General La Madrid,6322,2,2,4
2020,4,General La Madrid,6322,4,3,7
2020,5,General La Madrid,6322,4,4,8
2020,6,General La Madrid,6322,2,5,7
2020,7,General La Madrid,6322,2,3,5
2020,8,General La Madrid,6322,4,1,5
2020,9,General La Madrid,6322,3,5,8
2020,10,General La Madrid,6322,7,2,9
2020,11,General La Madrid,6322,2,4,6
2020,12,General La Madrid,6322,4,1,5
2020,1,General Las Heras,6329,1,1,2
2020,2,General Las Heras,6329,2,2,4
2020,3,General Las Heras,6329,3,2,5
2020,4,General Las Heras,6329,1,0,1
2020,5,General Las Heras,6329,3,7,10
2020,6,General Las Heras,6329,2,2,4
2020,7,General Las Heras,6329,7,4,11
2020,8,General Las Heras,6329,6,3,9
2020,9,General Las Heras,6329,3,1,4
2020,10,General Las Heras,6329,1,3,4
2020,11,General Las Heras,6329,6,1,7
2020,12,General Las Heras,6329,2,4,6
2020,1,General Lavalle,6336,0,0,0
2020,2,General Lavalle,6336,0,2,2
2020,3,General Lavalle,6336,2,0,2
2020,4,General Lavalle,6336,1,0,1
2020,5,General Lavalle,6336,1,0,1
2020,6,General Lavalle,6336,1,1,2
2020,7,General Lavalle,6336,1,0,1
2020,8,General Lavalle,6336,0,2,2
2020,9,General Lavalle,6336,0,0,0
2020,10,General Lavalle,6336,0,2,2
2020,11,General Lavalle,6336,2,2,4
2020,12,General Lavalle,6336,0,1,1
2020,1,General Paz,6343,2,3,5
2020,2,General Paz,6343,3,2,5
